,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DLGAP2,34.00690863,-3.1041467,0.695197153,-4.46513149,8.00E-06,3.92E-05
GPR137B,480.6386839,-1.110182596,0.248649733,-4.46484531,8.01E-06,3.92E-05
PCDHB13,46.61784463,4.34632057,0.973452261,4.464852303,8.01E-06,3.92E-05
LOC100125556,159.023135,2.250198948,0.504276611,4.462231438,8.11E-06,3.97E-05
C10orf105,39.73619037,-4.40307466,0.986815733,-4.461901563,8.12E-06,3.97E-05
TRMT11,622.2306788,-1.352900011,0.303250377,-4.461330021,8.15E-06,3.98E-05
SARM1,198.5774894,-2.53412036,0.568066579,-4.460956606,8.16E-06,3.99E-05
ANKRD36BP2,19.16798989,-4.760694162,1.067300908,-4.460498558,8.18E-06,4.00E-05
STK32C,261.0238888,3.000510335,0.672847232,4.459422871,8.22E-06,4.02E-05
TRIM32,783.1592068,0.934036893,0.209569167,4.456938512,8.31E-06,4.06E-05
GPRIN1,712.6147893,2.29692604,0.515425825,4.456365838,8.34E-06,4.07E-05
ZNF732,132.2625604,4.222566818,0.947583653,4.456141475,8.34E-06,4.07E-05
LRRC34,65.66938219,-4.417594593,0.991755659,-4.454317504,8.42E-06,4.11E-05
PCDHB9,52.72156194,4.539956206,1.019353511,4.453760306,8.44E-06,4.12E-05
FMOD,7.921336546,-5.412093173,1.215899621,-4.451101947,8.54E-06,4.17E-05
SLC38A6,150.5754519,1.393903725,0.31317697,4.450850024,8.55E-06,4.17E-05
FLJ30403,26.91353033,-2.266711652,0.509327323,-4.450402617,8.57E-06,4.18E-05
RNMT,2716.844952,-1.405863259,0.315927422,-4.449956413,8.59E-06,4.19E-05
ADAL,365.5448076,-1.574083947,0.353753978,-4.449657231,8.60E-06,4.19E-05
PRKAR1B,1508.891174,1.798795105,0.404289541,4.449274403,8.62E-06,4.20E-05
FOXO3,1115.543767,2.06384671,0.463937881,4.448541055,8.65E-06,4.21E-05
ZNF239,104.3493846,3.593943858,0.808063901,4.447598581,8.68E-06,4.23E-05
PTRH2,1059.078175,1.189952528,0.267587831,4.446960552,8.71E-06,4.24E-05
ZNF394,620.2755273,-0.932530125,0.209742277,-4.446076108,8.75E-06,4.25E-05
MAVS,4076.092745,0.870119165,0.195769527,4.444609833,8.81E-06,4.28E-05
ACAT1,1763.250062,-1.532471871,0.344810025,-4.444394772,8.81E-06,4.29E-05
PXDNL,41.9027009,-3.060282494,0.688653118,-4.443866464,8.84E-06,4.30E-05
IRF2BP1,731.7186529,2.553433457,0.574617758,4.443707877,8.84E-06,4.30E-05
TCEA3,20.38918722,4.872646673,1.096985731,4.44185055,8.92E-06,4.33E-05
SYT8,143.8649265,5.823970694,1.31129599,4.441385269,8.94E-06,4.34E-05
MYO7A,114.4894733,3.709433982,0.835407482,4.440269043,8.98E-06,4.36E-05
DCLRE1B,1243.853419,2.365341358,0.532745856,4.43990569,9.00E-06,4.37E-05
B3GNT2,2243.517826,-2.523149255,0.568399396,-4.439042818,9.04E-06,4.39E-05
LSM2,1971.843459,-0.738801428,0.166494891,-4.437381964,9.11E-06,4.42E-05
LOC646329,65.72486915,-3.225227744,0.726940764,-4.436713284,9.13E-06,4.43E-05
RNF38,1542.244368,-1.200497419,0.2706263,-4.435996862,9.16E-06,4.44E-05
PCDHA12,161.1449589,4.578994135,1.032448755,4.435081269,9.20E-06,4.46E-05
ZNF549,313.469135,-1.258606253,0.283785286,-4.435065231,9.20E-06,4.46E-05
KCND3,13.34749471,7.178194416,1.618605174,4.434802588,9.22E-06,4.46E-05
MEGF11,57.08347382,-2.579112112,0.581654118,-4.434099291,9.25E-06,4.48E-05
C4orf21,801.0263646,-1.752081094,0.395224502,-4.433128728,9.29E-06,4.50E-05
LRRK1,888.0494179,-2.240194519,0.50533478,-4.433089915,9.29E-06,4.50E-05
PAMR1,110.3572902,6.888435556,1.554711931,4.430682893,9.39E-06,4.55E-05
CEP57,1760.46524,-2.138897684,0.482889056,-4.42937701,9.45E-06,4.57E-05
RHCG,15.94929427,5.337517559,1.205107247,4.429080959,9.46E-06,4.58E-05
ZDHHC7,2588.269788,1.664507685,0.375988282,4.427020109,9.55E-06,4.62E-05
TSPYL5,1021.874929,2.900377735,0.655250151,4.426367137,9.58E-06,4.63E-05
GCSH,1636.151261,1.126945463,0.254668388,4.425148614,9.64E-06,4.66E-05
NHLRC1,58.40465888,2.045212396,0.462415855,4.422885538,9.74E-06,4.71E-05
SPAG6,7.769660247,-6.035565839,1.364778982,-4.422376018,9.76E-06,4.72E-05
FLJ35282,19.54652453,6.885877758,1.557094662,4.422260203,9.77E-06,4.72E-05
C16orf87,435.8740212,-2.148670892,0.485983419,-4.421284363,9.81E-06,4.74E-05
TUBB8,29.37918003,6.676150996,1.510655788,4.419372731,9.90E-06,4.78E-05
CD2BP2,2824.906772,1.444451902,0.326909587,4.418505792,9.94E-06,4.80E-05
DENND4C,1517.463876,-1.626516115,0.368155239,-4.418017028,9.96E-06,4.80E-05
TRIM66,671.2930825,-1.785828031,0.404241904,-4.4177212,9.97E-06,4.81E-05
C16orf7,246.5519301,2.239625731,0.507098819,4.41654693,1.00E-05,4.83E-05
GABRA4,4.723628639,-6.489834377,1.469479393,-4.41641741,1.00E-05,4.84E-05
TNNT3,10.96586317,-7.274884029,1.647320611,-4.416191956,1.00E-05,4.84E-05
AKAP1,4112.44924,1.613766642,0.365435771,4.416006228,1.01E-05,4.84E-05
TNIK,1665.582965,-3.52092948,0.79730046,-4.416063527,1.01E-05,4.84E-05
EMR1,66.99796535,-5.823765296,1.318824627,-4.415875453,1.01E-05,4.84E-05
HEATR5A,895.3148642,1.415943844,0.320754122,4.414421354,1.01E-05,4.87E-05
RPL6,48250.92613,-1.16762272,0.264502657,-4.414408282,1.01E-05,4.87E-05
HPCAL4,48.53410304,-4.36269931,0.988338158,-4.414176743,1.01E-05,4.88E-05
KIF1C,6033.469609,1.54434561,0.349902507,4.41364545,1.02E-05,4.89E-05
TMEM150C,214.5548962,5.241033032,1.187512924,4.413453466,1.02E-05,4.89E-05
PITHD1,1665.664954,-0.699739934,0.15856818,-4.412864761,1.02E-05,4.90E-05
EN2,49.011575,9.288083704,2.105853792,4.41060236,1.03E-05,4.95E-05
CYFIP2,4740.258779,-2.162599968,0.490523996,-4.408754691,1.04E-05,4.99E-05
SDR42E1,301.8389424,1.713269283,0.388616503,4.40863748,1.04E-05,5.00E-05
NPAT,911.9254117,-2.001709319,0.454075052,-4.408322614,1.04E-05,5.00E-05
ABCG1,288.8783574,2.64693272,0.600456085,4.408203672,1.04E-05,5.00E-05
AGBL3,22.51543599,-2.803466002,0.636074602,-4.407448427,1.05E-05,5.02E-05
LHFPL1,17.94956853,-4.404833649,0.999473565,-4.40715373,1.05E-05,5.02E-05
CCDC7,29.58579254,-2.134928012,0.484485437,-4.406588615,1.05E-05,5.04E-05
H1F0,4003.837507,2.424429118,0.550314307,4.405535325,1.06E-05,5.06E-05
LMF1,288.6902974,2.972751889,0.675124792,4.403262812,1.07E-05,5.11E-05
CACNA1I,118.5341159,6.660354604,1.512629996,4.403161793,1.07E-05,5.11E-05
ATP6V1B1,22.12978934,8.091268717,1.837714298,4.40289806,1.07E-05,5.12E-05
MAGED2,3071.077708,1.397815826,0.317642732,4.400591248,1.08E-05,5.17E-05
NCCRP1,52.74829779,4.432737913,1.007527259,4.399620827,1.08E-05,5.19E-05
EPHA6,42.8401251,8.10353203,1.84212532,4.399012348,1.09E-05,5.20E-05
TULP3,912.8549127,0.827684831,0.188171558,4.398565019,1.09E-05,5.21E-05
EIF5A2,186.7741892,3.103678959,0.705645879,4.398351994,1.09E-05,5.22E-05
AOAH,13.54723499,-7.491291682,1.703492923,-4.397606576,1.09E-05,5.23E-05
GHRLOS,48.36354041,-1.859812439,0.42295072,-4.397231991,1.10E-05,5.24E-05
EPB41,2638.938514,-1.268115808,0.288486758,-4.395750485,1.10E-05,5.28E-05
AFF3,282.5087987,-4.212681387,0.958367007,-4.395686994,1.10E-05,5.28E-05
CCDC159,118.7854396,-1.273413258,0.28973811,-4.395049227,1.11E-05,5.29E-05
TMPRSS9,18.27069274,-2.483430472,0.565377643,-4.392516232,1.12E-05,5.35E-05
TRA2A,2406.133037,-0.903966782,0.205803082,-4.392387,1.12E-05,5.35E-05
TMEM141,983.2845489,1.587002592,0.361360707,4.391740892,1.12E-05,5.37E-05
NSUN6,364.5385751,-1.841554158,0.419350176,-4.391447204,1.13E-05,5.37E-05
SP4,590.4554812,-2.197142465,0.500395948,-4.39080787,1.13E-05,5.39E-05
GK,384.3030901,-2.330303229,0.530862779,-4.389652699,1.14E-05,5.41E-05
SLC25A1,4586.103044,2.082685528,0.474538789,4.388862567,1.14E-05,5.43E-05
RELL1,235.3957648,1.544998141,0.352035473,4.388756982,1.14E-05,5.43E-05
C10orf140,181.962046,3.159899376,0.720081713,4.388251107,1.14E-05,5.45E-05
ARHGAP5,1637.459113,2.404037461,0.547875717,4.38792483,1.14E-05,5.45E-05
OR52N4,6.676604937,-6.595546649,1.503405496,-4.387070997,1.15E-05,5.47E-05
MUC16,133.9198252,4.62174896,1.053534187,4.386899843,1.15E-05,5.47E-05
GPRC5B,2113.875059,3.542745498,0.807649298,4.38648991,1.15E-05,5.48E-05
RNF144A,580.069667,-2.164640442,0.493581677,-4.385576987,1.16E-05,5.50E-05
TRIT1,864.1670916,-1.300224281,0.296521557,-4.384923281,1.16E-05,5.52E-05
RGMA,871.9393575,4.263005312,0.972302633,4.384442835,1.16E-05,5.53E-05
FUCA1,1009.468458,-2.090443217,0.476798573,-4.384331946,1.16E-05,5.53E-05
PLEKHA2,1879.067794,-2.844122141,0.648754467,-4.383973118,1.17E-05,5.54E-05
ADRB1,58.02883943,-3.989016196,0.910511636,-4.381071081,1.18E-05,5.61E-05
SLC41A2,277.2784873,-2.112677924,0.482262501,-4.380763419,1.18E-05,5.62E-05
HTR1D,140.105758,3.386673244,0.773109135,4.380588832,1.18E-05,5.62E-05
RMRP,1763.516309,-3.388210779,0.77356891,-4.379972795,1.19E-05,5.64E-05
FASN,35690.89438,2.800347688,0.639589142,4.378354017,1.20E-05,5.68E-05
PLA2G6,398.7010515,-1.877879555,0.429072215,-4.376604895,1.21E-05,5.72E-05
DYNLL2,4094.408863,1.56880731,0.358463632,4.376475517,1.21E-05,5.72E-05
CHRM3,248.7097167,3.820699181,0.873052554,4.376253368,1.21E-05,5.73E-05
CRYGS,22.37508017,-1.994457327,0.455764638,-4.376068612,1.21E-05,5.73E-05
COX18,606.9831379,-1.512683716,0.345705912,-4.375637389,1.21E-05,5.74E-05
CWC25,664.6771069,-1.186089685,0.271083637,-4.375364364,1.21E-05,5.74E-05
SLC6A20,10.41114742,-5.502420139,1.257576098,-4.375417241,1.21E-05,5.74E-05
KANK2,1896.131937,2.31787296,0.529770217,4.375242103,1.21E-05,5.74E-05
PSEN2,535.3051191,1.611472647,0.368315061,4.375255905,1.21E-05,5.74E-05
AKT1,7065.815095,2.246415131,0.513480141,4.374882202,1.21E-05,5.75E-05
UGCG,1036.062392,-1.207408986,0.276018527,-4.374376601,1.22E-05,5.76E-05
ACBD7,401.1395496,3.83331569,0.876403031,4.373918795,1.22E-05,5.77E-05
PIGT,2420.168231,2.082340749,0.476102074,4.373727532,1.22E-05,5.78E-05
PCSK2,95.43737185,8.019372789,1.833583492,4.373606559,1.22E-05,5.78E-05
PRKAA2,204.5187099,4.249355812,0.971606457,4.373535992,1.22E-05,5.78E-05
SOX11,1631.193865,-3.479979062,0.796055726,-4.371526952,1.23E-05,5.83E-05
SPATA18,252.0543324,1.780898442,0.407475456,4.370566165,1.24E-05,5.86E-05
BLOC1S3,387.4792216,1.274513248,0.291634332,4.370244208,1.24E-05,5.86E-05
CCDC87,25.91877449,2.966135906,0.678840417,4.369415597,1.25E-05,5.88E-05
FRS2,790.5774978,1.357743253,0.310803632,4.368492239,1.25E-05,5.91E-05
TMSB15A,371.6044067,5.638971651,1.290902061,4.368241265,1.25E-05,5.91E-05
PARP8,924.9938086,-2.051215007,0.469664067,-4.367408863,1.26E-05,5.93E-05
LOC100505716,11.03342014,-3.986895982,0.913005058,-4.366784111,1.26E-05,5.95E-05
PAPL,33.3117757,5.517977224,1.264005529,4.365469213,1.27E-05,5.98E-05
RBM20,31.93772856,-3.804787173,0.871620885,-4.365185873,1.27E-05,5.99E-05
PALMD,30.38781512,7.021169095,1.608530475,4.364958702,1.27E-05,5.99E-05
RC3H2,1055.249074,1.113598578,0.255163206,4.364260016,1.28E-05,6.01E-05
ALG1L,148.9330063,6.012461947,1.377786835,4.363854985,1.28E-05,6.02E-05
C5orf32,958.7150393,-1.11368416,0.255203066,-4.363913722,1.28E-05,6.02E-05
RDM1,110.3122584,-1.550289102,0.355295927,-4.36337426,1.28E-05,6.03E-05
ZMYND15,17.01336423,5.802361833,1.329995046,4.362694318,1.28E-05,6.05E-05
SP140L,337.1599875,-1.479132142,0.339147268,-4.361327009,1.29E-05,6.08E-05
ANKRD26P3,13.66523151,-8.363971867,1.918029435,-4.360710901,1.30E-05,6.10E-05
FAM129A,2217.397858,-4.086889045,0.937252284,-4.360500493,1.30E-05,6.10E-05
BRMS1,1625.25401,1.250573094,0.286931159,4.35844298,1.31E-05,6.16E-05
LOC400685,19.46223962,5.833118275,1.338349934,4.35844029,1.31E-05,6.16E-05
CCL20,54.60004776,-6.639176908,1.523518684,-4.357791591,1.31E-05,6.17E-05
PYCARD,952.1724337,2.073766593,0.476148823,4.355290813,1.33E-05,6.24E-05
ARAP2,872.2371462,-2.514968206,0.577891182,-4.351975394,1.35E-05,6.34E-05
ANKRD11,6247.784945,0.945883465,0.217374457,4.351401174,1.35E-05,6.35E-05
SCAPER,342.1803813,-1.175438487,0.270150543,-4.35104988,1.35E-05,6.36E-05
HSPG2,5567.289567,2.773630878,0.637633625,4.349881766,1.36E-05,6.39E-05
RPSA,39997.8494,-1.446373457,0.33255007,-4.349340407,1.37E-05,6.41E-05
ACSL3,3269.037213,1.912308336,0.439775854,4.34837047,1.37E-05,6.43E-05
SFI1,1375.711982,-1.4981115,0.344523716,-4.348355221,1.37E-05,6.43E-05
VTCN1,9.849901736,6.047443777,1.390979734,4.347614584,1.38E-05,6.45E-05
MAPK12,484.6417026,-2.039410527,0.469114879,-4.34735844,1.38E-05,6.46E-05
ZNF385B,43.85590527,6.5744165,1.51230038,4.347295408,1.38E-05,6.46E-05
KLC2,1802.989779,1.893296024,0.435532703,4.347081197,1.38E-05,6.46E-05
ITPKB,793.9546081,-1.687867058,0.388288956,-4.346935524,1.38E-05,6.47E-05
LINC00319,10.40742532,6.70337808,1.542245683,4.346504682,1.38E-05,6.48E-05
RFESD,57.74331443,-1.370057668,0.315219732,-4.346357573,1.38E-05,6.48E-05
C22orf15,18.76019611,-3.703018725,0.852082995,-4.345842773,1.39E-05,6.49E-05
C16orf53,1853.893924,1.335919214,0.307409893,4.345726165,1.39E-05,6.49E-05
C12orf45,588.0654361,-1.249608211,0.287608884,-4.344817839,1.39E-05,6.52E-05
ZNF423,1595.350881,5.062559735,1.165212255,4.344753252,1.39E-05,6.52E-05
LRRC3,92.58444064,2.026757816,0.466497717,4.344625368,1.40E-05,6.52E-05
ARF5,4241.215619,1.304385153,0.30024952,4.344337186,1.40E-05,6.53E-05
TEX261,2383.304048,1.261383553,0.290396063,4.343666168,1.40E-05,6.55E-05
LOC100506428,27.3198031,4.796011265,1.104623535,4.341760894,1.41E-05,6.60E-05
TMEM104,879.3298573,1.837922612,0.423319074,4.341695717,1.41E-05,6.60E-05
ANKRD13B,847.2563194,1.755250936,0.404491687,4.339399286,1.43E-05,6.67E-05
GNN,23.64097183,-2.449635498,0.564513844,-4.339371873,1.43E-05,6.67E-05
C1QTNF6,428.8981417,3.328036441,0.767027905,4.338872706,1.43E-05,6.68E-05
HSPB7,11.71310324,-5.72585048,1.319813799,-4.338377492,1.44E-05,6.69E-05
CNNM1,150.9314653,3.48887518,0.804284853,4.337860108,1.44E-05,6.71E-05
PRDX6,8504.284815,0.816672136,0.188359788,4.335703206,1.45E-05,6.77E-05
FOXM1,4107.785573,1.717311842,0.39624951,4.333915366,1.46E-05,6.83E-05
NRTN,43.79147098,7.309878737,1.686725497,4.33376904,1.47E-05,6.83E-05
MTRF1,333.5464844,-1.7413997,0.401983156,-4.332021568,1.48E-05,6.88E-05
PUS10,191.4088371,-2.445887652,0.564721382,-4.331140507,1.48E-05,6.91E-05
EXTL3,3304.112049,2.347244904,0.541956737,4.331055863,1.48E-05,6.91E-05
SAP30BP,2020.848736,1.097606046,0.253484432,4.330072797,1.49E-05,6.94E-05
AGAP3,2479.608827,1.616982411,0.373525202,4.328978082,1.50E-05,6.97E-05
ITGB1,14848.20712,3.206920221,0.74082459,4.32885229,1.50E-05,6.97E-05
NLRP4,17.94192931,-8.958752062,2.069534155,-4.328873742,1.50E-05,6.97E-05
SCN5A,288.753952,5.424364546,1.253069555,4.328861495,1.50E-05,6.97E-05
ZNF503-AS2,12.51751752,4.953944273,1.144353053,4.329034871,1.50E-05,6.97E-05
NEUROG2,53.26975643,-5.130008748,1.185453895,-4.327463741,1.51E-05,7.01E-05
SSPO,82.9659415,7.617594997,1.760803118,4.326204854,1.52E-05,7.05E-05
CLDND1,1627.717974,-1.427206445,0.329908553,-4.326066815,1.52E-05,7.05E-05
FSD1,1076.24175,3.300395374,0.763036324,4.325345036,1.52E-05,7.07E-05
PLTP,2304.996576,-2.566681193,0.593422372,-4.325218117,1.52E-05,7.07E-05
LINC00029,6.599032385,-6.453737601,1.492917369,-4.322903421,1.54E-05,7.15E-05
ATP8A2,148.455387,4.569155389,1.056981386,4.3228343,1.54E-05,7.15E-05
SHISA5,4387.723003,1.508189091,0.349020584,4.321203852,1.55E-05,7.20E-05
LOC440173,80.85352407,5.498352536,1.272706324,4.320205244,1.56E-05,7.23E-05
RASL10B,437.8025938,4.617512339,1.068997585,4.319478739,1.56E-05,7.25E-05
SHC2,113.16054,5.023187153,1.162981129,4.319233589,1.57E-05,7.26E-05
LOC439990,17.35887844,4.253890903,0.984981843,4.318750576,1.57E-05,7.27E-05
RPL32P3,137.4845646,-2.047339155,0.474089248,-4.318467802,1.57E-05,7.28E-05
MRPL27,1551.307827,1.03120158,0.238793731,4.318377934,1.57E-05,7.28E-05
PCNXL3,3867.147958,2.398581035,0.555472722,4.318089692,1.57E-05,7.29E-05
PDE4A,426.4857825,-2.35285536,0.54489912,-4.317965057,1.57E-05,7.29E-05
ELOVL3,16.84610698,3.213493058,0.744335856,4.317262202,1.58E-05,7.31E-05
KIAA0196,2062.351188,1.029232392,0.238404346,4.317171261,1.58E-05,7.31E-05
FEZ2,478.6163933,1.673040316,0.387559016,4.316865945,1.58E-05,7.32E-05
CHRNA4,85.34000491,-4.270124546,0.989266594,-4.316454807,1.59E-05,7.33E-05
MED12L,421.4961066,4.911167735,1.137797783,4.316380124,1.59E-05,7.33E-05
BEAN1,8.359866968,6.362174218,1.47419274,4.315700415,1.59E-05,7.35E-05
PPM1H,1312.759164,4.684975747,1.085671022,4.315281196,1.59E-05,7.36E-05
RDH13,460.6910853,1.698170733,0.393580068,4.314676662,1.60E-05,7.38E-05
DERL1,2569.607336,1.083448138,0.251149576,4.313955671,1.60E-05,7.40E-05
NLGN3,304.5306473,-1.869248591,0.433304887,-4.313933784,1.60E-05,7.40E-05
POLR3H,1485.367111,1.718042822,0.398337891,4.313028864,1.61E-05,7.43E-05
SEL1L3,2722.781926,-2.097374735,0.486430463,-4.311766825,1.62E-05,7.47E-05
TUBD1,681.5018708,3.199144821,0.741960578,4.311745012,1.62E-05,7.47E-05
MPI,1430.176926,-1.372596617,0.318382762,-4.311152434,1.62E-05,7.49E-05
TBC1D5,2013.21808,-0.744123551,0.172706545,-4.308600752,1.64E-05,7.57E-05
C9orf7,558.3638583,3.087710816,0.716818974,4.307518257,1.65E-05,7.61E-05
LINC00094,768.5773436,1.290913109,0.299743903,4.306720155,1.66E-05,7.63E-05
ITGAM,225.443046,-3.224298045,0.749085157,-4.30431442,1.68E-05,7.72E-05
DNAJC1,810.4001661,1.087481848,0.252702775,4.303402866,1.68E-05,7.75E-05
RAD23B,8578.955153,0.845825125,0.196560017,4.303139266,1.68E-05,7.75E-05
OLFML2B,194.9591073,5.665167162,1.316599472,4.302878197,1.69E-05,7.76E-05
SEPHS1,9301.394781,1.602502739,0.372426366,4.302871344,1.69E-05,7.76E-05
SLC6A12,9.843018519,-5.768555324,1.341103102,-4.301351115,1.70E-05,7.81E-05
FIS1,2752.648385,1.678033254,0.390124843,4.301272492,1.70E-05,7.81E-05
LOC100289561,28.21615952,-1.871050013,0.435016233,-4.301103891,1.70E-05,7.81E-05
GTDC1,348.1651447,-1.53566832,0.357169154,-4.299554714,1.71E-05,7.87E-05
BTNL9,114.0715902,-4.057971882,0.944052329,-4.298460749,1.72E-05,7.90E-05
SLC4A2,3975.553302,2.064332598,0.480270536,4.298270333,1.72E-05,7.91E-05
NR1D2,627.4996692,1.567016021,0.364637931,4.297457531,1.73E-05,7.93E-05
STUB1,1210.396167,2.037744227,0.474208787,4.297145649,1.73E-05,7.94E-05
AK2,6135.186947,-1.40956534,0.328107946,-4.296041458,1.74E-05,7.98E-05
TWF1,1764.646359,2.404197796,0.559642871,4.295950007,1.74E-05,7.98E-05
MAN2A1,1573.238657,2.101831153,0.489278649,4.295775339,1.74E-05,7.99E-05
SIGLECP3,5.904351472,-6.139146496,1.429223655,-4.295441427,1.74E-05,8.00E-05
PODXL,26609.76601,4.461140477,1.038751986,4.294711863,1.75E-05,8.02E-05
PCDHGA1,37.24122833,3.493269212,0.813607549,4.293555558,1.76E-05,8.06E-05
ENOX2,548.2935693,1.379812857,0.321378591,4.293418709,1.76E-05,8.06E-05
TREX1,701.4474792,-1.871702194,0.435964929,-4.293240286,1.76E-05,8.07E-05
BTN2A1,622.9476626,-0.892161833,0.207836468,-4.292614486,1.77E-05,8.09E-05
S100A4,342.7544173,-2.208534004,0.514512909,-4.292475398,1.77E-05,8.09E-05
PDGFRL,158.7492449,6.160364759,1.435467048,4.29154035,1.77E-05,8.12E-05
ZNF469,249.637312,3.74011441,0.871612078,4.29103096,1.78E-05,8.14E-05
SCG3,621.8951487,-3.490071991,0.81369775,-4.289150351,1.79E-05,8.21E-05
KLHL32,10.54233123,-3.677321303,0.857463095,-4.288605919,1.80E-05,8.22E-05
DTX3L,976.6804283,-2.050752248,0.478300306,-4.287582971,1.81E-05,8.26E-05
RXRA,4480.719743,2.22950789,0.520001407,4.287503569,1.81E-05,8.26E-05
C20orf30,2165.588513,-1.687976743,0.393788061,-4.28651071,1.82E-05,8.29E-05
PYCRL,708.7154311,2.100870759,0.490108007,4.286546495,1.81E-05,8.29E-05
PARP3,448.7284778,-2.182059041,0.509071482,-4.286350968,1.82E-05,8.30E-05
VAMP2,1168.588281,-1.150941867,0.268528186,-4.286111943,1.82E-05,8.30E-05
COX7C,12759.21224,-1.021201528,0.238296495,-4.285424048,1.82E-05,8.33E-05
ADM2,369.9182468,2.463422902,0.57488144,4.28509729,1.83E-05,8.34E-05
MORC2,2301.335209,1.471471607,0.343416827,4.284797629,1.83E-05,8.35E-05
ARHGAP4,1346.354572,-3.240376875,0.756342738,-4.284270495,1.83E-05,8.36E-05
APPBP2,3629.174255,3.128896911,0.730617503,4.282537576,1.85E-05,8.43E-05
DNAJB6,6361.548258,0.860633032,0.200979592,4.282191157,1.85E-05,8.44E-05
PPP1R16A,965.6177043,3.077570582,0.718788251,4.281609471,1.86E-05,8.46E-05
CCDC106,502.7829239,-2.064843473,0.482403355,-4.280325686,1.87E-05,8.51E-05
PTP4A2,6101.080515,-1.373288849,0.321060963,-4.27734607,1.89E-05,8.62E-05
RHOT1,988.1451506,-1.669422316,0.390397541,-4.276211149,1.90E-05,8.66E-05
EMX1,35.87458044,-3.114989703,0.728459823,-4.276131096,1.90E-05,8.66E-05
C1orf51,208.5317792,2.135459773,0.49940692,4.275991554,1.90E-05,8.66E-05
RAET1K,21.73485586,2.568311982,0.600631797,4.276017344,1.90E-05,8.66E-05
MAP4K3,821.0827391,2.030438686,0.47539426,4.271062685,1.95E-05,8.85E-05
SPSB1,353.0649495,2.306583139,0.540068833,4.270905849,1.95E-05,8.86E-05
DMTF1,2106.022217,-1.355207587,0.317456152,-4.26895992,1.96E-05,8.93E-05
PALM,466.612451,5.069018927,1.18772712,4.267831258,1.97E-05,8.97E-05
NUP210L,129.2987351,6.782379688,1.589325112,4.267458958,1.98E-05,8.99E-05
FAM90A1,11.2724282,-3.373773809,0.790610521,-4.26730194,1.98E-05,8.99E-05
MDS2,7.807153041,-7.774331689,1.822342822,-4.266119194,1.99E-05,9.04E-05
MICA,498.5101587,1.262994754,0.296130692,4.264991062,2.00E-05,9.08E-05
APIP,645.2124579,-1.364494875,0.320129079,-4.262327185,2.02E-05,9.19E-05
PLEKHA7,618.9750116,2.504720994,0.587690034,4.261976299,2.03E-05,9.20E-05
ZNF382,98.27652679,-4.137188191,0.970888375,-4.261239807,2.03E-05,9.23E-05
DTYMK,1494.247432,1.265042024,0.296940487,4.260254423,2.04E-05,9.27E-05
KLHL31,15.59372183,4.941328405,1.159965369,4.259893044,2.05E-05,9.28E-05
MSTO2P,87.40712283,-1.589019619,0.37318123,-4.258037359,2.06E-05,9.35E-05
MGEA5,6151.300417,-1.062149877,0.249472575,-4.257581723,2.07E-05,9.37E-05
LOC100507173,49.45498549,-1.764477407,0.414488343,-4.257001277,2.07E-05,9.39E-05
CP,42.7215499,8.741802903,2.054194004,4.255587781,2.09E-05,9.45E-05
UBA7,1024.796567,-4.76471013,1.11975439,-4.255138603,2.09E-05,9.46E-05
ALOX15,137.8585685,5.963391694,1.401733297,4.254298379,2.10E-05,9.50E-05
SLC12A7,1767.07186,2.05335287,0.48278442,4.253146508,2.11E-05,9.54E-05
TBC1D22A,1335.041911,-1.708513589,0.401828456,-4.251848175,2.12E-05,9.60E-05
TTC39A,908.6935236,4.719407756,1.109994948,4.251738051,2.12E-05,9.60E-05
PIAS1,1079.069295,-0.778172545,0.183037449,-4.251438982,2.12E-05,9.61E-05
MRE11A,1295.177582,-1.652479941,0.388740994,-4.250850743,2.13E-05,9.63E-05
GBE1,3338.537736,-2.542582913,0.598150542,-4.2507408,2.13E-05,9.64E-05
LOC728554,483.8267815,1.592086148,0.374745156,4.248450235,2.15E-05,9.73E-05
APOL4,14.83265969,-3.959258104,0.932049322,-4.247906209,2.16E-05,9.75E-05
BGN,58.92558004,6.030499352,1.420202357,4.246225421,2.17E-05,9.82E-05
ASB6,1118.52773,1.793072266,0.422293,4.246038334,2.18E-05,9.83E-05
NFX1,1954.618251,-0.631522315,0.148777673,-4.2447385,2.19E-05,9.88E-05
LOC653061,29.00769135,2.552947984,0.6014808,4.244438036,2.19E-05,9.89E-05
CUX2,283.9576492,-3.921195781,0.924288545,-4.242393571,2.21E-05,9.98E-05
C21orf49,12.6545146,-3.211189159,0.756989518,-4.242052341,2.21E-05,9.99E-05
GLCCI1,1421.296228,-2.007199378,0.473165908,-4.242062549,2.21E-05,9.99E-05
CEP135,518.27647,-1.881858117,0.443751401,-4.240793639,2.23E-05,0.00010046
SMARCD2,6549.878936,2.180255041,0.514148373,4.240517244,2.23E-05,0.000100558
AGTPBP1,1422.795111,-1.293068187,0.304943961,-4.240346924,2.23E-05,0.000100608
RASL11B,689.0152419,3.500133878,0.825461743,4.240213321,2.23E-05,0.000100642
WRN,1262.414076,-1.777356502,0.419190469,-4.239973555,2.24E-05,0.000100723
PDCD4,4678.903413,-2.157106767,0.508852378,-4.239160233,2.24E-05,0.000101063
GNG7,479.3326487,-4.007507718,0.945402056,-4.238945423,2.25E-05,0.000101133
