"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"EBI3",2112.52221086414,-11.6357019036798,0.63353583781951,-18.3662883913991,2.44576087215181e-75,8.80973048846518e-73,"DOWN"
"DAB2IP",2194.54541740423,8.00547690135368,0.436039151852668,18.3595369070405,2.76958837392433e-75,9.7766469599529e-73,"UP"
"KCNN3",781.653792557205,-9.92312334588147,0.540570919143122,-18.3567465331116,2.91560077213722e-75,1.00902654172984e-72,"DOWN"
"LRP11",872.581116815515,7.90208114344095,0.433637953156114,18.2227618360613,3.40525735765465e-74,1.15582293005009e-71,"UP"
"TANC2",3088.98754583484,8.91070130916232,0.490553277726151,18.1645943748778,9.84317852350565e-74,3.27796416867688e-71,"UP"
"CD27",794.867186942072,-8.61544933847745,0.476263376025004,-18.0896742688549,3.84352022683026e-73,1.25626170376952e-70,"DOWN"
"PLXNC1",715.914112745143,-5.42330851958194,0.299937909664062,-18.0814373403355,4.4629536579257e-73,1.43220240113434e-70,"DOWN"
"LOC100131564",961.870194992276,-5.05689375678003,0.28038371128505,-18.0356188795824,1.02343187664994e-72,3.22563796836991e-70,"DOWN"
"SP140",998.065333954079,-10.17922583024,0.567204338687649,-17.9463116480947,5.12852795151295e-72,1.58804418147726e-69,"DOWN"
"ASAP2",1644.03324593838,9.18414266733488,0.511903994713249,17.9411427966674,5.62855881279072e-72,1.71282867320269e-69,"UP"
"DOCK2",3237.34859860788,-10.6861755467552,0.598644719603159,-17.8506135556312,2.85878345220886e-71,8.55212337821803e-69,"DOWN"
"LOC283663",340.119359871556,-7.55761828696133,0.424168592231696,-17.8174867856154,5.17079602767758e-71,1.52107583147515e-68,"DOWN"
"CD52",2148.48434929152,-12.1908556322223,0.684435513192012,-17.8115474683182,5.74979410181508e-71,1.6636699327383e-68,"DOWN"
"FAM65B",1120.69272860843,-9.42886681946485,0.529793797009172,-17.7972389874954,7.42398905750814e-71,2.11344204620998e-68,"DOWN"
"GMFG",923.736590701523,-10.9941156958465,0.619229245034746,-17.7545162538788,1.59034972935895e-70,4.45550360685484e-68,"DOWN"
"TCF7L1",3258.96419653051,5.63750605411215,0.321029356429614,17.5607181748445,4.92481781950785e-69,1.35817241428615e-66,"UP"
"ITGB5",3984.10420415039,7.98799383632537,0.456998907859208,17.4792405385492,2.06227437598026e-68,5.59986811323871e-66,"UP"
"CD79A",3038.56837760086,-10.7445895779003,0.618471407699406,-17.3728153705085,1.32559311730117e-67,3.54495735157055e-65,"DOWN"
"RAB33A",229.71626698504,-6.48841465351286,0.37353539987029,-17.3702804493656,1.38547143959644e-67,3.64978670281748e-65,"DOWN"
"HLA-DRA",40819.3592339935,-13.7700680959506,0.794978499445878,-17.3213088222496,3.24883689589008e-67,8.43264282536175e-65,"DOWN"
"ZNF462",2766.2436376024,7.22505268762609,0.417898458866824,17.2890149133777,5.69166177982274e-67,1.45591058570828e-64,"UP"
"PTPRK",3418.64108891136,7.3049770082848,0.422550441069198,17.2878224663562,5.81061432639553e-67,1.46510489801259e-64,"UP"
"PIM2",5074.25154837656,-4.52668233542087,0.262347244178124,-17.2545450195293,1.03433236595607e-66,2.57126285339782e-64,"DOWN"
"TNFRSF8",2019.04358449313,-11.1402868190631,0.645787068758286,-17.25071212789,1.10528620647799e-66,2.7094863256023e-64,"DOWN"
"SPN",2554.8823102546,-12.4590940641667,0.7229292061456,-17.2341827640277,1.47117779371849e-66,3.55702576152484e-64,"DOWN"
"KIAA0922",3224.29834525522,-2.76127000523821,0.160735770439667,-17.1789390605787,3.81830550323063e-66,9.10717461243522e-64,"DOWN"
"GLRX",951.181528174639,-4.98984568386069,0.29152441607029,-17.1163902877266,1.12009139971747e-65,2.60126489539648e-63,"DOWN"
"KIAA1549",961.99574690136,4.62673890218534,0.270305093761294,17.116728500393,1.1136040249318e-65,2.60126489539648e-63,"UP"
"PLK2",1290.6247452299,6.83804628295163,0.399879994369664,17.100246021886,1.47779163487057e-65,3.38740550070982e-63,"UP"
"PPFIBP2",645.82092928618,-3.58704906760113,0.211001674260042,-17.0000976541086,8.19832400968471e-65,1.85513357398635e-62,"DOWN"
"STX3",1274.89970394182,4.258765888681,0.251320977014549,16.9455249588436,2.07672071304063e-64,4.63976209938824e-62,"UP"
"AMOTL2",2114.40533813205,8.53980070368076,0.504443108889497,16.9291651589426,2.74242050647698e-64,6.05046524241484e-62,"UP"
"TNFSF4",314.516410479911,-8.18164074292015,0.486005616444275,-16.8344571875092,1.36433796299273e-63,2.97290926503971e-61,"DOWN"
"RHOH",949.670585003245,-9.75238765931149,0.580545599184043,-16.7986591802926,2.49623229829099e-63,5.37298781278488e-61,"DOWN"
"NCS1",2047.4043577604,8.4286263469569,0.501781194851541,16.7974137600964,2.54919278123294e-63,5.42087380587486e-61,"UP"
"SEMA3F",2465.76228438217,8.75537618336735,0.522226419203364,16.7654792278095,4.36480748459256e-63,9.1712919170308e-61,"UP"
"ST6GALNAC2",615.355799969514,6.95648769684363,0.415718409841416,16.733653194472,7.45237771319363e-63,1.54746431338668e-60,"UP"
"TNFRSF12A",1964.7394558313,8.30377498505629,0.496422432964429,16.727235583351,8.30023244029561e-63,1.70347793687462e-60,"UP"
"SMURF1",1668.7448762143,2.06489652106045,0.123545357162303,16.7136715493709,1.0421654881589e-62,2.11427826046031e-60,"UP"
"RASGRP3",1982.96278937083,-12.2965648524566,0.741348998882841,-16.5867423723329,8.69081829797304e-62,1.74310162453664e-59,"DOWN"
"UNC13B",1993.26132672764,7.09706207699981,0.428479490080111,16.5633647381183,1.28218784394675e-61,2.54276578041126e-59,"UP"
"MIR155HG",6769.55329195011,-14.6541976871717,0.888340582326744,-16.4961479625184,3.91056543628621e-61,7.66905332782796e-59,"DOWN"
"ITGB4",15625.8262189996,10.978634399507,0.669491965848599,16.3984557836945,1.96161132549009e-60,3.8046637247143e-58,"UP"
"NCKAP1L",2484.44903523702,-13.2372279168685,0.812515296961699,-16.2916660970784,1.13105467568015e-59,2.16990380714724e-57,"DOWN"
"BCL2A1",1640.95851492909,-12.3089567354482,0.758560724253558,-16.2267256158833,3.26413554308301e-59,6.19483788552851e-57,"DOWN"
"SVIL",1741.73183503302,6.40324989530039,0.39468940047027,16.2235162324373,3.43928611726188e-59,6.45780850741194e-57,"UP"
"LFNG",1649.80236892731,8.48033877302428,0.523867617122171,16.1879423271292,6.13459304079722e-59,1.13974281231654e-56,"UP"
"KIAA0284",2728.38109019171,8.41536189264365,0.520031328454468,16.1824133127788,6.71115369208433e-59,1.23387356943009e-56,"UP"
"CD53",4345.32422319327,-14.0275346601849,0.871370769748099,-16.0982387144339,2.62470138817467e-58,4.74831948828748e-56,"DOWN"
"WDFY4",2322.34544761123,-9.48801841274059,0.589392518231792,-16.0979620868027,2.63646067904914e-58,4.74831948828748e-56,"DOWN"
"CCDC69",1411.15559596357,-4.39744513142018,0.273290901145465,-16.0907118129028,2.96409805825673e-58,5.2844778513365e-56,"DOWN"
"ST14",2914.79155350788,8.79149270712232,0.546889595203758,16.0754433513163,3.79270236240027e-58,6.69411966963648e-56,"UP"
"SSH3",1626.95883594395,8.68861090884785,0.541189679054673,16.0546500517614,5.30372071556542e-58,9.2683832306663e-56,"UP"
"SH2D3C",331.804677189214,-6.66849873702671,0.415689754695694,-16.042008882101,6.50167570255978e-58,1.12504486421745e-55,"DOWN"
"SYT11",824.113149086358,-8.11945459133926,0.506287606377213,-16.0372375090095,7.0208632170766e-58,1.2030896677806e-55,"DOWN"
"NCF1",1076.72113985642,-11.001664729782,0.686783112225503,-16.0191253016274,9.39627480459946e-58,1.59465625289597e-55,"DOWN"
"CD37",1468.70246092853,-9.41975989075415,0.58826341412764,-16.0128263368598,1.03977315794185e-57,1.74780916549273e-55,"DOWN"
"LAT2",1763.93376859142,-7.75637393463953,0.485086129270689,-15.9896840305473,1.50793885086977e-57,2.51086044508032e-55,"DOWN"
"TNF",603.929661306576,-8.86836224722949,0.555758615993442,-15.9572195410357,2.5378834669912e-57,4.18632179368174e-55,"DOWN"
"TTYH2",300.119455498138,-4.61062398567231,0.28906756036077,-15.9499875389616,2.84953769075837e-57,4.65688335573012e-55,"DOWN"
"ARHGAP32",962.822488218371,7.79461334950473,0.489258411758029,15.9314856161526,3.83144782454818e-57,6.20413340397022e-55,"UP"
"SHROOM2",840.978611335227,8.09952868428475,0.51046943948329,15.8668238640952,1.0754727171105e-56,1.72564485972731e-54,"UP"
"TNFRSF13C",342.899350333584,-8.76265400770516,0.553798826549514,-15.8228107168474,2.16603139459613e-56,3.44418505537133e-54,"DOWN"
